"RANK","PLAYER","TEAM_LOGO","TEAM_NAME","MIN","OFF","DEF","TOT","WAR","CONFERENCE"
57,"Domantas Sabonis","http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif","Indiana Pacers",2159,1.31848024792773,0.061371011953392,1.37985125988112,4.523728782049,"Eastern"
58,"George Hill","http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif","Milwaukee Bucks",1539,2.18021203839536,0.859737948484986,3.03994998688033,4.50643845344229,"Eastern"
59,"Pascal Siakam","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",2528,-0.267263478459991,0.994825877021544,0.727562398561547,4.49523572369545,"Eastern"
60,"Ricky Rubio","http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif","Phoenix Suns",2016,1.6319568477016,-0.050743719982953,1.58121312771865,4.49425839619693,"Western"
61,"Alex Caruso","http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif","Los Angeles Lakers",1685,-1.39134227986175,3.80208839935885,2.41074611949709,4.47156955152683,"Western"
62,"T.J. Warren","http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif","Indiana Pacers",2358,0.763677222351267,0.206268471247491,0.969945693598761,4.46641403775874,"Eastern"
63,"Tim Hardaway Jr.","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif","Dallas Mavericks",2295,1.79661648498172,-0.768019221565312,1.02859726341641,4.38967595062748,"Western"
64,"P.J. Tucker","http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif","Houston Rockets",2881,-2.0899872332891,2.31418727515978,0.224200041870679,4.37728461418287,"Western"
65,"Dorian Finney-Smith","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif","Dallas Mavericks",2311,0.0753723670213841,0.831763827917055,0.907136194938439,4.29465627080814,"Western"
66,"Mitchell Robinson","http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif","New York Knicks",1412,1.25186998500349,1.72694413433852,2.978814119342,4.10973486502954,"Eastern"
67,"Davis Bertans","http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif","Washington Wizards",1583,2.83336934924381,-0.626822823317308,2.2065465259265,4.05153468571122,"Eastern"
68,"Tobias Harris","http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif","Philadelphia 76ers",2618,0.945526423303581,-0.632141897271499,0.313384526032082,4.03768074779737,"Eastern"
69,"Al Horford","http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif","Philadelphia 76ers",2154,0.332369985799732,0.593167102406788,0.925537088206522,4.02884979835227,"Eastern"
70,"Daniel Theis","http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif","Boston Celtics",2048,-0.876516574977744,1.97136991465072,1.09485333967297,4.01631532687718,"Eastern"
71,"Spencer Dinwiddie","http://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif","Brooklyn Nets",1994,3.35743082904437,-2.17350630339049,1.18392452565387,3.98327530180355,"Eastern"
72,"Jakob Poeltl","http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif","San Antonio Spurs",1171,0.805141092344314,3.03336314696683,3.83850423931114,3.94525387293981,"Western"
73,"Wesley Matthews","http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif","Milwaukee Bucks",1881,-1.79275566413794,3.10107105554986,1.30831539141191,3.93253407388042,"Eastern"
74,"Derrick Favors","http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif","New Orleans Pelicans",1243,0.699644640411793,2.66010556980368,3.35975021021548,3.86537206066249,"Western"
75,"Clint Capela","http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif","Houston Rockets",1279,-1.04639025980112,4.17785619084532,3.1314659310442,3.84345755700125,"Western"
76,"Derrick Jones Jr.","http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif","Miami Heat",1472,0.0329966917052457,2.22958224899243,2.26257894069768,3.76185463357985,"Eastern"
77,"Evan Fournier","http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif","Orlando Magic",2247,1.13742309977682,-0.68013875157679,0.457284348200021,3.69552671464002,"Eastern"
78,"Bogdan Bogdanovic","http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif","Sacramento Kings",1766,1.63543578181598,-0.421138848692167,1.21429693312381,3.55185498914367,"Western"
79,"Brandon Ingram","http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif","New Orleans Pelicans",2104,1.61786606075838,-1.1197723637594,0.498093696998977,3.51915005318549,"Western"
80,"Gordon Hayward","http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif","Boston Celtics",1897,1.64216353139131,-0.878424035240951,0.763739496150363,3.41240477965279,"Eastern"
81,"Kris Dunn","http://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif","Chicago Bulls",1269,-1.6885237891661,4.14749880715827,2.45897501799218,3.37650094160736,"Eastern"
82,"Malcolm Brogdon","http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif","Indiana Pacers",1826,1.19356928010944,-0.314569481262722,0.878999798846722,3.36910284640504,"Eastern"
83,"Jonathan Isaac","http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif","Orlando Magic",980,-0.839197457841593,4.75910740803585,3.91990995019425,3.3430992067316,"Eastern"
84,"DeMar DeRozan","http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif","San Antonio Spurs",2316,2.76648156092163,-2.670028985982,0.096452574939621,3.33085372142824,"Western"
85,"Aaron Holiday","http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif","Indiana Pacers",1689,0.453432618459267,0.664346538186015,1.11777915664528,3.31335534906791,"Eastern"
86,"JaVale McGee","http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif","Los Angeles Lakers",1265,-0.60996763794265,2.93776455923242,2.32779692128977,3.2881387031411,"Western"
87,"Rondae Hollis-Jefferson","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",1161,0.457041304726203,2.27431172048456,2.73135302521077,3.24816332017239,"Eastern"
88,"Terrence Ross","http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif","Orlando Magic",2024,0.953932705490685,-0.628052980447268,0.325879725043417,3.20056945281987,"Eastern"
89,"Paul Millsap","http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif","Denver Nuggets",1699,-0.52262696030231,1.43114178768361,0.908514827381306,3.18538500862446,"Western"
90,"Josh Richardson","http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif","Philadelphia 76ers",1837,-0.138260550463516,0.775302448609324,0.637041898145807,3.17519634871966,"Eastern"
91,"Michael Porter Jr.","http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif","Denver Nuggets",1354,2.04798308428987,-0.321010674401181,1.72697240988869,3.15277425213002,"Western"
92,"Marc Gasol","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",1389,-2.37218265589637,4.03613860703615,1.66395595113978,3.12683405712746,"Eastern"
93,"Matisse Thybulle","http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif","Philadelphia 76ers",1362,-1.54054997872941,3.25374013039176,1.71319015166235,3.11263616976579,"Eastern"
94,"Robert Covington","http://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif","Minnesota Timberwolves",1411,0.125416269630522,1.39731839961032,1.52273466924085,3.09100002010203,"Western"
95,"Terence Davis","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",1293,1.63654699621125,0.257214612405418,1.89376160861667,3.08492669648015,"Eastern"
96,"Danuel House Jr.","http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif","Houston Rockets",2192,-0.370634415045055,0.324701161105243,-0.0459332539398124,3.04540662113262,"Western"
97,"Michael Carter-Williams","http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif","Orlando Magic",833,1.31062814184221,3.00714408104016,4.31777222288238,3.01518905533605,"Eastern"
98,"Caris LeVert","http://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif","Brooklyn Nets",1470,1.84332625325536,-0.597557335146797,1.24576891810856,3.00392518948992,"Eastern"
99,"De'Anthony Melton","http://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif","Memphis Grizzlies",1167,0.089382426844713,2.10449616765084,2.19387859449555,2.9651880665262,"Western"
100,"Kelly Olynyk","http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif","Miami Heat",1558,0.810478499633193,0.0695325145375313,0.880011014170723,2.94328448954132,"Eastern"
101,"Delon Wright","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif","Dallas Mavericks",1623,0.366176879107915,0.426853162901463,0.793030042009377,2.91567072309342,"Western"
102,"Larry Nance Jr.","http://content.sportslogos.net/logos/6/222/thumbs/22269212018.gif","Cleveland Cavaliers",1472,0.05807359591695,1.10281686747134,1.16089046338828,2.9152940388654,"Eastern"
103,"Kelly Oubre Jr.","http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif","Phoenix Suns",1933,-0.411810521060879,0.534112828638518,0.122302307577639,2.84577747090458,"Western"
104,"Deandre Ayton","http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif","Phoenix Suns",1236,-1.20789426682861,2.97700451676482,1.76911024993621,2.84564218220948,"Western"
105,"Chris Boucher","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",862,1.76396233855298,1.94118901693476,3.70515135548775,2.84295828333907,"Eastern"
106,"Tomas Satoransky","http://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif","Chicago Bulls",1878,0.052479776633151,0.136442535011138,0.188922311644289,2.81188500894635,"Eastern"
107,"Zach LaVine","http://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif","Chicago Bulls",2085,1.21130181348571,-1.35891942110218,-0.147617607616464,2.78113366150812,"Eastern"
108,"Dwight Howard","http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif","Los Angeles Lakers",1588,0.376516406518032,0.290527800703166,0.667044207221201,2.76722182297274,"Western"
109,"Robert Covington","http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif","Houston Rockets",1105,-0.802625070484141,2.81378973461395,2.01116466412981,2.73166970975649,"Western"
110,"Norman Powell","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",1752,0.5655538895482,-0.319157684460912,0.246396205087288,2.70603983198415,"Eastern"
111,"Jae Crowder","http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif","Miami Heat",1213,1.55537707920432,0.00840815512636781,1.56378523433069,2.70533985260988,"Eastern"
112,"De'Aaron Fox","http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif","Sacramento Kings",1634,2.46458573595695,-2.02050194953169,0.444083786425256,2.69637233442813,"Western"
113,"Josh Hart","http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif","New Orleans Pelicans",1755,-0.073909141220573,0.307499827706965,0.233590686486392,2.67540526557158,"Western"
114,"Marcus Morris Sr.","http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif","New York Knicks",1387,1.60679996337925,-0.593473118609431,1.01332684476982,2.6500915969693,"Eastern"
115,"Enes Kanter","http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif","Boston Celtics",1085,1.74173519517744,0.239786335508989,1.98152153068642,2.59696792308589,"Eastern"
116,"Lou Williams","http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif","Los Angeles Clippers",2205,2.22124585842313,-2.72753020243502,-0.506284344011888,2.5768333459411,"Western"
117,"Jalen Brunson","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif","Dallas Mavericks",1022,1.28990374837322,0.876901319890513,2.16680506826373,2.547079346816,"Western"
118,"Seth Curry","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif","Dallas Mavericks",1749,2.71797947582695,-2.62172779559582,0.0962516802311239,2.53877943789894,"Western"
119,"Furkan Korkmaz","http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif","Philadelphia 76ers",1599,0.072839686707992,0.277413042813053,0.350252729521045,2.53656515336152,"Eastern"
120,"LaMarcus Aldridge","http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif","San Antonio Spurs",1754,-0.66043981598044,0.777019002992208,0.116579187011769,2.53091736752676,"Western"
121,"Kentavious Caldwell-Pope","http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif","Los Angeles Lakers",2370,-0.133718257966827,-0.566353520897527,-0.700071778864354,2.49357222574419,"Western"
122,"Kevin Love","http://content.sportslogos.net/logos/6/222/thumbs/22269212018.gif","Cleveland Cavaliers",1780,1.468075702065,-1.51641260094006,-0.048336898875057,2.4812380281858,"Eastern"
123,"Elfrid Payton","http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif","New York Knicks",1246,0.836463485943017,0.298268019976485,1.1347315059195,2.4636454088214,"Eastern"
124,"Brandon Clarke","http://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif","Memphis Grizzlies",1300,0.205167721361485,0.734046618953299,0.939214340314784,2.45081684260902,"Western"
125,"Richaun Holmes","http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif","Sacramento Kings",1242,0.187023260908222,0.938405393962344,1.12542865487057,2.43924835223704,"Western"
126,"Cody Martin","http://content.sportslogos.net/logos/6/5120/thumbs/512019262015.gif","Charlotte Hornets",903,-1.75682612534594,4.24843648338245,2.4916103580365,2.41244154893053,"Eastern"
127,"Buddy Hield","http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif","Sacramento Kings",2216,1.21595639481679,-1.86848434760879,-0.652527952792008,2.38501618598667,"Western"
128,"Gorgui Dieng","http://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif","Minnesota Timberwolves",778,-3.03813320483857,6.27360731926866,3.2354741144301,2.37396061921434,"Western"
129,"Bruce Brown","http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif","Detroit Pistons",1634,-1.82991894732768,1.94610670545157,0.11618775812389,2.36109616274067,"Eastern"
130,"Joe Harris","http://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif","Brooklyn Nets",2195,1.005039824755,-1.70036237765447,-0.695322552899472,2.31573991878903,"Eastern"
131,"Jeremy Lamb","http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif","Indiana Pacers",1291,0.299218465599941,0.459902022650523,0.759120488250465,2.30544504466391,"Eastern"
132,"Serge Ibaka","http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif","Toronto Raptors",1736,-1.27590141884753,1.05051093464652,-0.225390484201008,2.2953838359139,"Eastern"
133,"Isaac Bonga","http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif","Washington Wizards",1250,-1.17520350786539,2.00430405754622,0.829100549680828,2.28638850786772,"Eastern"
134,"Andre Drummond","http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif","Detroit Pistons",1654,-2.23210752855318,2.1672839491933,-0.064823579359877,2.27500376888393,"Eastern"
135,"Lonzo Ball","http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif","New Orleans Pelicans",2025,-0.81366625761994,0.226165399727637,-0.587500857892303,2.25847992560661,"Western"
136,"Damion Lee","http://content.sportslogos.net/logos/6/235/thumbs/23531522020.gif","Golden State Warriors",1423,-0.339888565314693,0.627448459083335,0.287559893768642,2.21791999721649,"Western"
137,"Jordan Clarkson","http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif","Utah Jazz",1239,2.40725997806349,-1.70305492675993,0.704205051303563,2.17887692815165,"Western"
